drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:100241', 'CHEBI:17650']",MONDO:0001051,1,"['CHEBI:100241', 'CHEBI:17650']",,missing_drug
"['CHEBI:100241', 'CHEBI:17650']",MONDO:0021666,1,"['CHEBI:100241', 'CHEBI:17650']",,missing_drug
"['CHEBI:100241', 'CHEBI:17650']",UMLS:C0740437,1,"['CHEBI:100241', 'CHEBI:17650']",UMLS:C0740437,missing_drug+missing_disease
"['CHEBI:100241', 'CHEBI:41879']",HP:0000371,1,"['CHEBI:100241', 'CHEBI:41879']",,missing_drug
"['CHEBI:100241', 'CHEBI:41879']",MONDO:0001051,1,"['CHEBI:100241', 'CHEBI:41879']",,missing_drug
"['CHEBI:100241', 'CHEBI:41879']",MONDO:0005441,1,"['CHEBI:100241', 'CHEBI:41879']",,missing_drug
"['CHEBI:100241', 'CHEBI:41879']",MONDO:0005975,1,"['CHEBI:100241', 'CHEBI:41879']",,missing_drug
"['CHEBI:100241', 'CHEBI:41879']",MONDO:0007498,0,"['CHEBI:100241', 'CHEBI:41879']",,missing_drug
"['CHEBI:100241', 'CHEBI:41879']",UMLS:C0015404,1,"['CHEBI:100241', 'CHEBI:41879']",,missing_drug
"['CHEBI:100241', 'CHEBI:5108']",MONDO:0005892,1,['CHEBI:100241'],,missing_drug
"['CHEBI:100241', 'CHEBI:6909']",UMLS:C1112209,1,['CHEBI:100241'],,missing_drug
"['CHEBI:100241', 'CHEBI:75176']",MONDO:0021697,1,['CHEBI:100241'],,missing_drug
"['CHEBI:100241', 'CHEBI:75176']",MONDO:0100128,1,['CHEBI:100241'],,missing_drug
"['CHEBI:100241', 'CHEBI:8232']",UMLS:C0746883,1,['CHEBI:100241'],,missing_drug
"['CHEBI:10033', 'CHEBI:4653']",UMLS:C0919822,1,[],UMLS:C0919822,missing_disease
"['CHEBI:10056', 'PUBCHEM.COMPOUND:5284632']",HP:0000016,0,['PUBCHEM.COMPOUND:5284632'],,missing_drug
