example_key,drug_set,condition_id_norm,mechanism_category,mechanism_confidence,needs_human_review,rationale_short,llm_model,prompt_version,classified_at_utc,from_cache
CHEBI:26710|CHEBI:32588||HP:0001944,"['CHEBI:26710', 'CHEBI:32588']",HP:0001944,mechanistically_synergistic,0.9,False,Both sodium chloride and potassium chloride are electrolytes used together to treat dehydration by restoring electrolyte balance.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:31355|CHEBI:45863|UNII:2S9ZZM9Q9V|UNII:52CMI0WC3Y||UMLS:C5395609,"['CHEBI:31355', 'CHEBI:45863', 'UNII:2S9ZZM9Q9V', 'UNII:52CMI0WC3Y']",UMLS:C5395609,mechanistically_synergistic,0.9,False,"Combination of Atezolizumab, Paclitaxel, Bevacizumab, and Carboplatin is used synergistically in cancer treatment targeting multiple mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:32234|CHEBI:36560|DRUGBANK:DB11111|UNII:NQ14646378||MONDO:0004980,"['CHEBI:32234', 'CHEBI:36560', 'DRUGBANK:DB11111', 'UNII:NQ14646378']",MONDO:0004980,mechanistically_synergistic,0.8,False,Drugs like zinc oxide and ichthammol are used topically for atopic eczema to reduce inflammation and protect skin; combination suggests joint therapeutic intent.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:135523|CHEBI:15354||MONDO:0043653,"['CHEBI:135523', 'CHEBI:15354']",MONDO:0043653,other,0.6,True,"Choline is a nutrient, Cetalkonium is an antiseptic; no clear mechanistic synergy or side effect relief for herpes labialis.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:30136|CHEBI:31793|CHEBI:32139|CHEBI:3311|CHEBI:33130|CHEBI:6637|CHEBI:8776|UNII:3A3U0GI71G|UNII:6M3P64V0NC|UNII:6V88E24N5T|UNII:F92V3S521O|UNII:FML8G1U0Y3||MONDO:0007186,"['CHEBI:30136', 'CHEBI:31793', 'CHEBI:32139', 'CHEBI:3311', 'CHEBI:33130', 'CHEBI:6637', 'CHEBI:8776', 'UNII:3A3U0GI71G', 'UNII:6M3P64V0NC', 'UNII:6V88E24N5T', 'UNII:F92V3S521O', 'UNII:FML8G1U0Y3']",MONDO:0007186,side_effect_relief,0.9,False,"Drugs like ranitidine and antacids (e.g., magnesium hydroxide, calcium carbonate) are used together to relieve heartburn by reducing stomach acid and neutralizing acid, indicating side effect relief synergy.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:27470|CHEBI:75832||UMLS:C1623040,"['CHEBI:27470', 'CHEBI:75832']",UMLS:C1623040,other,0.7,True,Ferrous sulfate and folic acid are supplements used during breastfeeding but not specifically mechanistically synergistic or for side effect relief in breastfeeding; likely supportive care.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:6801|CHEBI:8228||MONDO:0005148,"['CHEBI:6801', 'CHEBI:8228']",MONDO:0005148,mechanistically_synergistic,0.95,False,Metformin and Pioglitazone are both antidiabetic drugs used together to improve glycemic control in type 2 diabetes.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:16914|PUBCHEM.COMPOUND:6433489||UMLS:C0006107,"['CHEBI:16914', 'PUBCHEM.COMPOUND:6433489']",UMLS:C0006107,other,0.6,True,Escin and salicylic acid have different mechanisms; salicylic acid is anti-inflammatory but not specifically synergistic for concussion; escin is a saponin with unclear direct concussion relevance.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:32114|CHEBI:46195|CHEBI:52010|CHEBI:8093||MONDO:0005812,"['CHEBI:32114', 'CHEBI:46195', 'CHEBI:52010', 'CHEBI:8093']",MONDO:0005812,mechanistically_synergistic,0.9,False,"Combination includes decongestant, analgesics, and antihistamine commonly used together to treat influenza symptoms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:44445|CHEBI:94557||UBERON:0001130,"['CHEBI:44445', 'CHEBI:94557']",UBERON:0001130,mechanistically_synergistic,0.85,False,Thiocolchicoside is a muscle relaxant and Nimesulide is an NSAID; both target pain and inflammation in spine conditions.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:17650|CHEBI:17650|CHEBI:7507||HP:0100534,"['CHEBI:17650', 'CHEBI:17650', 'CHEBI:7507']",HP:0100534,mechanistically_synergistic,0.85,False,"Hydrocortisone is an anti-inflammatory used for episcleritis; Framycetin is an antibiotic that may prevent secondary infection, supporting treatment.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:75179|CHEBI:90877||UMLS:C0338204,"['CHEBI:75179', 'CHEBI:90877']",UMLS:C0338204,mechanistically_synergistic,0.9,False,"Trifluridine and tipiracil hydrochloride are combined in cancer treatment to enhance therapeutic effect, indicating mechanistic synergy for the disease.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
UNII:6LTE2DNX63|UNII:J2D279PEM5||NCBITaxon:333760,"['UNII:6LTE2DNX63', 'UNII:J2D279PEM5']",NCBITaxon:333760,mechanistically_synergistic,0.95,False,Both drugs are HPV type 16 and 18 L1 capsid protein antigens targeting HPV infection mechanisms.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:135611|CHEBI:39561||UMLS:C0011974,"['CHEBI:135611', 'CHEBI:39561']",UMLS:C0011974,other,0.6,True,Both drugs are antiseptics commonly used in topical formulations; their combination for diaper rash is not clearly mechanistically synergistic or for side effect relief.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:51209|CHEBI:52010|CHEBI:5855||HP:0001945,"['CHEBI:51209', 'CHEBI:52010', 'CHEBI:5855']",HP:0001945,mechanistically_synergistic,0.9,False,"Pseudoephedrine and chlorphenamine are used for cold/allergy symptoms; ibuprofen reduces fever and inflammation, jointly targeting fever symptoms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:3215|CHEBI:6456|CHEBI:6888||UMLS:C0920235,"['CHEBI:3215', 'CHEBI:6456', 'CHEBI:6888']",UMLS:C0920235,mechanistically_synergistic,0.9,False,"Bupivacaine and Lidocaine are local anesthetics providing pain relief; Methylprednisolone is a corticosteroid reducing inflammation in psoriatic plaques, indicating a synergistic therapeutic approach.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:17439|CHEBI:31607||MONDO:0002280,"['CHEBI:17439', 'CHEBI:31607']",MONDO:0002280,mechanistically_synergistic,0.95,False,Both Cyanocobalamin (Vitamin B12) and Ferrous fumarate (iron supplement) are used to treat anemia by addressing different nutritional deficiencies causing anemia.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:3614|CHEBI:94563||MONDO:0002508,"['CHEBI:3614', 'CHEBI:94563']",MONDO:0002508,mechanistically_synergistic,0.9,False,Both Chlorhexidine and Benzydamine are used to treat gingivitis by targeting inflammation and infection in the oral cavity.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:3001|CHEBI:7507||UMLS:C0263443,"['CHEBI:3001', 'CHEBI:7507']",UMLS:C0263443,mechanistically_synergistic,0.9,False,Framycetin is an antibiotic and beclomethasone is a corticosteroid; combined they target infection and inflammation in pustular acne.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:9907|UNII:2J3H5C81A5||UNII:V9G7HR5L1Q,"['CHEBI:9907', 'UNII:2J3H5C81A5']",UNII:V9G7HR5L1Q,mechanistically_synergistic,0.8,True,"Elafibranor and ursodiol both target liver-related conditions, potentially synergistic in treating liver diseases.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:135976|CHEBI:15409|CHEBI:36773||UMLS:C0080194,"['CHEBI:135976', 'CHEBI:15409', 'CHEBI:36773']",UMLS:C0080194,mechanistically_synergistic,0.9,False,"All three drugs (menthyl salicylate, levomenthol, camphor) are topical agents commonly combined for symptomatic relief in muscle strain through analgesic and counterirritant effects.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:46081|CHEBI:6923||HP:0000989,"['CHEBI:46081', 'CHEBI:6923']",HP:0000989,mechanistically_synergistic,0.9,False,Both Fluconazole and Miconazole are antifungal agents often used together to treat fungal infections causing pruritus.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:63791|UNII:QQA9MLH692||MONDO:0010643,"['CHEBI:63791', 'UNII:QQA9MLH692']",MONDO:0010643,mechanistically_synergistic,0.9,False,Tafasitamab and Lenalidomide are used together to treat acute leukemia with complementary mechanisms targeting the disease.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
