example_key,drug_set,condition_id_norm,source_label_binary,source_file,drug_labels,condition_label
CHEBI:230905|CHEBI:6413||MONDO:0000618,"['CHEBI:230905', 'CHEBI:6413']",MONDO:0000618,1,indications,"['Letrozole', 'Ribociclib']",Her2-receptor negative breast cancer
CHEBI:46195|UNII:FZG87K1MQ6||HP:0100607,"['CHEBI:46195', 'UNII:FZG87K1MQ6']",HP:0100607,1,indications,"['pamabrom', 'Acetaminophen']",Dysmenorrhea
CHEBI:41879|CHEBI:85155|CHEBI:85157||MONDO:0025598,"['CHEBI:41879', 'CHEBI:85155', 'CHEBI:85157']",MONDO:0025598,1,indications,"['Netupitant', 'palonosetron hydrochloride', 'Dexamethasone']",pneumonia caused by chlamydia
CHEBI:3485|CHEBI:48947||UMLS:C0856695,"['CHEBI:3485', 'CHEBI:48947']",UMLS:C0856695,1,indications,"['Cefdinir', 'Clavulanic acid']",Acute exacerbation of chronic bronchitis
CHEBI:3614|CHEBI:6456|CHEBI:9667||UMLS:C0555971,"['CHEBI:3614', 'CHEBI:6456', 'CHEBI:9667']",UMLS:C0555971,1,indications,"['Triamcinolone', 'Chlorhexidine', 'Lidocaine']",Oral infection
CHEBI:164200|CHEBI:34393|CHEBI:4735||MONDO:0021201,"['CHEBI:164200', 'CHEBI:34393', 'CHEBI:4735']",MONDO:0021201,1,indications,"['Chloroxylenol', 'Triclosan', 'Edetic acid']",skin infection
CHEBI:29888|CHEBI:78067||MONDO:0006716,"['CHEBI:29888', 'CHEBI:78067']",MONDO:0006716,1,indications,"['Pyrophosphate', 'Stannous chloride']",coronary thrombosis
CHEBI:36773|UNII:2R04ONI662||HP:0410339,"['CHEBI:36773', 'UNII:2R04ONI662']",HP:0410339,1,indications,"['camphor', 'Eucalyptus oil']",Insect bite allergy
CHEBI:33118|CHEBI:33130|CHEBI:36560|UNII:8P5F881OCY||MONDO:0002406,"['CHEBI:33118', 'CHEBI:33130', 'CHEBI:36560', 'UNII:8P5F881OCY']",MONDO:0002406,1,indications,"['Balsam of Peru', 'algeldrate', 'Zinc oxide', 'Boric acid']",dermatitis
CHEBI:4470|CHEBI:46195|CHEBI:52010|UNII:S3V868548T||MONDO:0005709,"['CHEBI:4470', 'CHEBI:46195', 'CHEBI:52010', 'UNII:S3V868548T']",MONDO:0005709,1,indications,"['chlorphenamine', 'Acetaminophen', 'Terpin hydrate', 'Dextromethorphan']",common cold
CHEBI:52010|CHEBI:5779||MONDO:0005709,"['CHEBI:52010', 'CHEBI:5779']",MONDO:0005709,1,indications,"['Hydrocodone', 'chlorphenamine']",common cold
CHEBI:47381|CHEBI:8768||MONDO:0008383,"['CHEBI:47381', 'CHEBI:8768']",MONDO:0008383,1,indications,"['Diclofenac', 'Rabeprazole']",rheumatoid arthritis
CHEBI:44185|CHEBI:4875||MONDO:0008383,"['CHEBI:44185', 'CHEBI:4875']",MONDO:0008383,1,indications,"['Etanercept', 'Methotrexate']",rheumatoid arthritis
CHEBI:27594|CHEBI:81916|DRUGBANK:DB14016||MONDO:0005281,"['CHEBI:27594', 'CHEBI:81916', 'DRUGBANK:DB14016']",MONDO:0005281,1,indications,"['Ox bile extract', 'Pancrelipase', 'Graphite']",gallbladder disorder
UNII:JSV288Q5CV|UNII:JSV288Q5CV||MONDO:0100130,"['UNII:JSV288Q5CV', 'UNII:JSV288Q5CV']",MONDO:0100130,1,indications,"['Famtozinameran', 'Famtozinameran']",adult acute respiratory distress syndrome
DRUGBANK:DB15654|DRUGBANK:DB17091||MONDO:0100130,"['DRUGBANK:DB15654', 'DRUGBANK:DB17091']",MONDO:0100130,1,indications,"['Davesomeran', 'Moderna COVID-19 Vaccine']",adult acute respiratory distress syndrome
CHEBI:31206|CHEBI:52010|CHEBI:5551||MONDO:0025598,"['CHEBI:31206', 'CHEBI:52010', 'CHEBI:5551']",MONDO:0025598,1,indications,"['chlorphenamine', 'Guaifenesin', 'Ammonium chloride']",pneumonia caused by chlamydia
CHEBI:28177|CHEBI:28939||MONDO:0002155,"['CHEBI:28177', 'CHEBI:28939']",MONDO:0002155,1,indications,"['Theophylline', 'Acetylcysteine']",cholecystitis
CHEBI:31498|CHEBI:81916||CHEBI:25805,"['CHEBI:31498', 'CHEBI:81916']",CHEBI:25805,1,indications,"['Dimethicone', 'Pancrelipase']",Oxygen
CHEBI:46859|CHEBI:6456|UNII:FGL3685T2X||MONDO:0025598,"['CHEBI:46859', 'CHEBI:6456', 'UNII:FGL3685T2X']",MONDO:0025598,1,indications,"['Polidocanol', 'Chamomile', 'Lidocaine']",pneumonia caused by chlamydia
CHEBI:26710|CHEBI:32139|CHEBI:32588||MONDO:0000440,"['CHEBI:26710', 'CHEBI:32139', 'CHEBI:32588']",MONDO:0000440,1,indications,"['Sodium chloride', 'Potassium chloride', 'Sodium bicarbonate']",metabolic acidosis
CHEBI:3510|CHEBI:48947||UMLS:C0041912,"['CHEBI:3510', 'CHEBI:48947']",UMLS:C0041912,1,indications,"['Ceftibuten', 'Clavulanic acid']",Upper Respiratory Infections
CHEBI:31498|CHEBI:31498|CHEBI:81916||NCIT:C34887,"['CHEBI:31498', 'CHEBI:31498', 'CHEBI:81916']",NCIT:C34887,1,indications,"['Pancrelipase', 'Dimethicone', 'Dimethicone']",Post-Operative Pain
CHEBI:26710|CHEBI:32588|CHEBI:34683|CHEBI:34683|CHEBI:78320||MONDO:0000440,"['CHEBI:26710', 'CHEBI:32588', 'CHEBI:34683', 'CHEBI:34683', 'CHEBI:78320']",MONDO:0000440,1,indications,"['Sodium phosphate, dibasic', 'Potassium chloride', 'Sodium chloride', 'Lactic acid', 'Sodium phosphate, dibasic']",metabolic acidosis
CHEBI:3183|CHEBI:46195|CHEBI:5551|CHEBI:77032|CHEBI:8093||MONDO:0005709,"['CHEBI:3183', 'CHEBI:46195', 'CHEBI:5551', 'CHEBI:77032', 'CHEBI:8093']",MONDO:0005709,1,indications,"['Acetaminophen', 'Brompheniramine', 'Bromhexine', 'Phenylephrine', 'Guaifenesin']",common cold
CHEBI:52010|CHEBI:81717||MONDO:0005709,"['CHEBI:52010', 'CHEBI:81717']",MONDO:0005709,1,indications,"['chlorphenamine', 'Calcium levulinate']",common cold
CHEBI:4470|CHEBI:5551|PUBCHEM.COMPOUND:4786||MONDO:0005709,"['CHEBI:4470', 'CHEBI:5551', 'PUBCHEM.COMPOUND:4786']",MONDO:0005709,1,indications,"['Guaifenesin', 'Phenylpropanolamine', 'Dextromethorphan']",common cold
CHEBI:52010|PUBCHEM.COMPOUND:4786||MONDO:0005709,"['CHEBI:52010', 'PUBCHEM.COMPOUND:4786']",MONDO:0005709,1,indications,"['chlorphenamine', 'Phenylpropanolamine']",common cold
CHEBI:4470|CHEBI:5551|CHEBI:8093||MONDO:0005709,"['CHEBI:4470', 'CHEBI:5551', 'CHEBI:8093']",MONDO:0005709,1,indications,"['Phenylephrine', 'Guaifenesin', 'Dextromethorphan']",common cold
CHEBI:15409|CHEBI:8378|UNII:5EL163606Q|UNII:NQ14646378||MONDO:0004872,"['CHEBI:15409', 'CHEBI:8378', 'UNII:5EL163606Q', 'UNII:NQ14646378']",MONDO:0004872,1,indications,"['Prednisolone', 'Ichthammol', 'Carvasept', 'Levomenthol']",hemorrhoid
CHEBI:31498|CHEBI:4514||MONDO:0005725,"['CHEBI:31498', 'CHEBI:4514']",MONDO:0005725,1,indications,"['Dicyclomine', 'Dimethicone']",cyclosporiasis
CHEBI:18332|CHEBI:8346||MONDO:0002108,"['CHEBI:18332', 'CHEBI:8346']",MONDO:0002108,1,indications,"['Potassium Iodide', 'Levothyroxine']",thyroid cancer
CHEBI:31498|CHEBI:4514||MONDO:0005725,"['CHEBI:31498', 'CHEBI:4514']",MONDO:0005725,1,indications,"['Dimethicone', 'Dicyclomine']",cyclosporiasis
CHEBI:46195|CHEBI:51209||UMLS:C0264222,"['CHEBI:46195', 'CHEBI:51209']",UMLS:C0264222,1,indications,"['Acetaminophen', 'Pseudoephedrine']",Acute upper respiratory infection
CHEBI:30769|CHEBI:4470|CHEBI:4636||MONDO:0005271,"['CHEBI:30769', 'CHEBI:4470', 'CHEBI:4636']",MONDO:0005271,1,indications,"['Citric acid', 'Diphenhydramine', 'Dextromethorphan']",Allergy
CHEBI:32219|CHEBI:4470|CHEBI:8093||MONDO:0005271,"['CHEBI:32219', 'CHEBI:4470', 'CHEBI:8093']",MONDO:0005271,1,indications,"['Thonzylamine hydrochloride', 'Dextromethorphan', 'Phenylephrine']",Allergy
CHEBI:22652|CHEBI:3183||MONDO:0005271,"['CHEBI:22652', 'CHEBI:3183']",MONDO:0005271,1,indications,"['Brompheniramine', 'Ascorbic acid']",Allergy
CHEBI:36773|UNII:2R04ONI662||UMLS:C0281856,"['CHEBI:36773', 'UNII:2R04ONI662']",UMLS:C0281856,1,indications,"['Eucalyptus oil', 'camphor']",Generalized aches and pains
CHEBI:62984|CHEBI:8357||NCIT:C121616,"['CHEBI:62984', 'CHEBI:8357']",NCIT:C121616,1,indications,"['Zinc acetate', 'Pramocaine']",Wound Discharge
CHEBI:83766|UNII:2S9ZZM9Q9V||UMLS:C0863127,"['CHEBI:83766', 'UNII:2S9ZZM9Q9V']",UMLS:C0863127,1,indications,"['Olaparib', 'Bevacizumab']",Chemotherapy-Related Leukemia
CHEBI:16684|CHEBI:251408||HP:0002791,"['CHEBI:16684', 'CHEBI:251408']",HP:0002791,1,indications,"['Edrophonium', 'Atropine']",Hypoventilation
CHEBI:16709|CHEBI:51380||HP:0002018,"['CHEBI:16709', 'CHEBI:51380']",HP:0002018,1,indications,"['Doxylamine', 'Pyridoxine']",Nausea
CHEBI:41879|CHEBI:7507|CHEBI:8310||UMLS:C0015404,"['CHEBI:41879', 'CHEBI:7507', 'CHEBI:8310']",UMLS:C0015404,1,indications,"['Dexamethasone', 'Framycetin', 'Polymyxin B']","Eye Infections, Bacterial"
CHEBI:2668|CHEBI:38545||UMLS:C0522060,"['CHEBI:2668', 'CHEBI:38545']",UMLS:C0522060,1,indications,"['Amlodipine', 'Rosuvastatin']",Inadequate food diet
CHEBI:85994|UNII:DPT0O3T46P||NCIT:C137827,"['CHEBI:85994', 'UNII:DPT0O3T46P']",NCIT:C137827,1,indications,"['Lenvatinib', 'Pembrolizumab']",Mismatch Repair Protein Deficiency
CHEBI:3508|CHEBI:6909|CHEBI:85982||MONDO:0018944,"['CHEBI:3508', 'CHEBI:6909', 'CHEBI:85982']",MONDO:0018944,1,indications,"['Metronidazole', 'Ceftazidime', 'avibactam sodium']",gestational trophoblastic neoplasm
DRUGBANK:DB00028|PUBCHEM.COMPOUND:91820602||HP:0005363,"['DRUGBANK:DB00028', 'PUBCHEM.COMPOUND:91820602']",HP:0005363,1,indications,"['Human immunoglobulin G', 'Hyaluronidase']",Humoral immunodeficiency
CHEBI:177836|CHEBI:27375|CHEBI:28748|UNII:7XL5ISS668||UMLS:C0855068,"['CHEBI:177836', 'CHEBI:27375', 'CHEBI:28748', 'UNII:7XL5ISS668']",UMLS:C0855068,1,indications,"['Adcetris', 'Doxorubicin', 'Vinblastine', 'Dacarbazine']",Rhabdomyosarcoma previously untreated
CHEBI:5778|CHEBI:9241||NCIT:C162704,"['CHEBI:5778', 'CHEBI:9241']",NCIT:C162704,1,indications,"['Hydrochlorothiazide', 'Spironolactone']",No Response to Treatment
CHEBI:133021|CHEBI:76612||UMLS:C5395609,"['CHEBI:133021', 'CHEBI:76612']",UMLS:C5395609,1,indications,"['Ibrutinib', 'Venetoclax']",Treatment naive
CHEBI:8232|CHEBI:9421||UMLS:C0694549,"['CHEBI:8232', 'CHEBI:9421']",UMLS:C0694549,1,indications,"['Piperacillin', 'Tazobactam']",Community-Acquired Pneumonia
CHEBI:41423|CHEBI:75722||UniProtKB:A0A8D0SEZ5,"['CHEBI:41423', 'CHEBI:75722']",UniProtKB:A0A8D0SEZ5,1,indications,"['Celecoxib', 'Tramadol']",A0A8D0SEZ5_PIG NOVA alternative splicing regulator 1 (trembl)
CHEBI:66964|CHEBI:69478||UMLS:C0278139,"['CHEBI:66964', 'CHEBI:69478']",UMLS:C0278139,1,indications,"['Cannabidiol', 'Dronabinol']",Moderate pain
CHEBI:3485|CHEBI:48947||MONDO:0021201,"['CHEBI:3485', 'CHEBI:48947']",MONDO:0021201,1,indications,"['Cefdinir', 'Clavulanic acid']",skin infection
CHEBI:3614|CHEBI:5130||UMLS:C0852882,"['CHEBI:3614', 'CHEBI:5130']",UMLS:C0852882,1,indications,"['Chlorhexidine', 'Flurbiprofen']",Radiation mucositis
CHEBI:15366|CHEBI:17650||MONDO:0004795,"['CHEBI:15366', 'CHEBI:17650']",MONDO:0004795,1,indications,"['Hydrocortisone', 'Acetic acid']",otitis externa
