drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:100241', 'CHEBI:17650']",UMLS:C0740437,1,[],UMLS:C0740437,missing_disease
"['CHEBI:100241', 'CHEBI:41879']",MONDO:0004866,1,[],MONDO:0004866,missing_disease
"['CHEBI:10033', 'CHEBI:4653']",UMLS:C0919822,1,[],UMLS:C0919822,missing_disease
"['CHEBI:10082', 'CHEBI:27373']",UMLS:C0176372,1,[],UMLS:C0176372,missing_disease
"['CHEBI:102524', 'CHEBI:135538', 'CHEBI:27732']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:10454', 'CHEBI:135214']",UMLS:C1998297,0,[],UMLS:C1998297,missing_disease
"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",NCIT:C78213,1,[],NCIT:C78213,missing_disease
"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",UMLS:C0001707,1,[],UMLS:C0001707,missing_disease
"['CHEBI:114785', 'CHEBI:175901']",UMLS:C5395609,1,[],UMLS:C5395609,missing_disease
"['CHEBI:114785', 'UNII:D99YVK4L0X']",UMLS:C3888903,1,[],UMLS:C3888903,missing_disease
"['CHEBI:114786', 'CHEBI:131527']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:114786', 'CHEBI:17234']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:114786', 'CHEBI:26710']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:114786', 'CHEBI:32954']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:116735', 'CHEBI:17987', 'CHEBI:34393']",UMLS:C5437085,1,[],UMLS:C5437085,missing_disease
"['CHEBI:116735', 'CHEBI:30853', 'CHEBI:3614']",MONDO:0006723,1,['CHEBI:30853'],,missing_drug
"['CHEBI:116735', 'CHEBI:31264', 'UNII:877376V2XW']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:116735', 'CHEBI:9468']",UMLS:C0011593,1,[],UMLS:C0011593,missing_disease
"['CHEBI:116735', 'UNII:877376V2XW']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:119486', 'CHEBI:31536', 'CHEBI:63717']",UNII:7K28NB895L,1,['CHEBI:119486'],UNII:7K28NB895L,missing_drug+missing_disease
"['CHEBI:12777', 'CHEBI:15940']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:12777', 'CHEBI:16709', 'CHEBI:18145']",MONDO:0005559,1,[],MONDO:0005559,missing_disease
"['CHEBI:12777', 'CHEBI:16709', 'CHEBI:18145']",UMLS:C0852222,1,[],UMLS:C0852222,missing_disease
"['CHEBI:12777', 'CHEBI:18145']",MONDO:0005559,1,[],MONDO:0005559,missing_disease
"['CHEBI:12777', 'CHEBI:28659']",UMLS:C0573813,0,[],UMLS:C0573813,missing_disease
"['CHEBI:131527', 'CHEBI:17234', 'CHEBI:26710', 'CHEBI:32029', 'CHEBI:32599', 'CHEBI:3309']",UMLS:C4509972,1,[],UMLS:C4509972,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049392,1,[],UMLS:C4049392,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049395,1,[],UMLS:C4049395,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049418,1,[],UMLS:C4049418,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049420,1,[],UMLS:C4049420,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049431,1,[],UMLS:C4049431,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049435,1,[],UMLS:C4049435,missing_disease
"['CHEBI:133021', 'CHEBI:76612']",UMLS:C5395609,1,[],UMLS:C5395609,missing_disease
"['CHEBI:133538', 'CHEBI:15603', 'CHEBI:15971', 'CHEBI:16414', 'CHEBI:16811', 'CHEBI:16828', 'CHEBI:16857', 'CHEBI:17191', 'CHEBI:17295']",UMLS:C0542211,1,[],UMLS:C0542211,missing_disease
"['CHEBI:134718', 'CHEBI:15765', 'CHEBI:39585']",MONDO:0014231,1,['CHEBI:39585'],,missing_drug
"['CHEBI:134719', 'CHEBI:9421']",UMLS:C2189270,1,[],UMLS:C2189270,missing_disease
"['CHEBI:134719', 'CHEBI:9421']",UMLS:C4727977,1,[],UMLS:C4727977,missing_disease
"['CHEBI:134726', 'CHEBI:15765', 'CHEBI:39585']",MONDO:0014231,1,['CHEBI:39585'],,missing_drug
"['CHEBI:134743', 'CHEBI:63580', 'UNII:G8RGG88B68']",UMLS:C4049392,1,[],UMLS:C4049392,missing_disease
"['CHEBI:134743', 'CHEBI:63580', 'UNII:G8RGG88B68']",UMLS:C4049431,1,[],UMLS:C4049431,missing_disease
"['CHEBI:134743', 'CHEBI:63580', 'UNII:Q46947FE7K']",UMLS:C4049392,1,[],UMLS:C4049392,missing_disease
"['CHEBI:134743', 'CHEBI:63580', 'UNII:Q46947FE7K']",UMLS:C4049431,1,[],UMLS:C4049431,missing_disease
"['CHEBI:134743', 'CHEBI:85083']",UMLS:C4049392,1,[],UMLS:C4049392,missing_disease
"['CHEBI:134753', 'CHEBI:28939']",UMLS:C0342398,0,[],UMLS:C0342398,missing_disease
"['CHEBI:134761', 'CHEBI:88839']",UMLS:C0856716,0,[],UMLS:C0856716,missing_disease
"['CHEBI:134813', 'CHEBI:52010', 'CHEBI:8093']",UMLS:C2317131,1,[],UMLS:C2317131,missing_disease
"['CHEBI:134850', 'CHEBI:17439']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
"['CHEBI:134850', 'CHEBI:17439']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:134850', 'CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",UMLS:C0543612,1,[],UMLS:C0543612,missing_disease
"['CHEBI:134850', 'CHEBI:31749']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
"['CHEBI:134850', 'CHEBI:31749']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:134850', 'CHEBI:41879']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
"['CHEBI:134850', 'CHEBI:41879']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:134850', 'CHEBI:6456']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
"['CHEBI:134850', 'CHEBI:6456']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:135096', 'CHEBI:16914']",UMLS:C1271063,0,[],UMLS:C1271063,missing_disease
"['CHEBI:135096', 'CHEBI:16914']",UMLS:C2609048,1,[],UMLS:C2609048,missing_disease
"['CHEBI:135402', 'CHEBI:74500']",MONDO:0001410,1,['CHEBI:135402'],,missing_drug
"['CHEBI:135446', 'CHEBI:8389']",UMLS:C0559162,0,[],UMLS:C0559162,missing_disease
"['CHEBI:135446', 'CHEBI:8389']",UMLS:C1261367,0,[],UMLS:C1261367,missing_disease
"['CHEBI:135446', 'CHEBI:8389']",UMLS:C1277190,0,[],UMLS:C1277190,missing_disease
"['CHEBI:135492', 'CHEBI:50156']",UMLS:C0851300,1,[],UMLS:C0851300,missing_disease
"['CHEBI:135499', 'CHEBI:9671']",UMLS:C0851300,1,[],UMLS:C0851300,missing_disease
"['CHEBI:135499', 'CHEBI:9671']",UMLS:C1142529,0,[],UMLS:C1142529,missing_disease
"['CHEBI:135538', 'CHEBI:22652', 'CHEBI:46195']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:135538', 'CHEBI:5088']",MONDO:0001732,1,[],MONDO:0001732,missing_disease
"['CHEBI:135538', 'CHEBI:5088']",MONDO:0004729,1,[],MONDO:0004729,missing_disease
"['CHEBI:135538', 'CHEBI:5088']",MONDO:0005280,1,[],MONDO:0005280,missing_disease
"['CHEBI:135538', 'CHEBI:5088']",UMLS:C0863151,1,[],UMLS:C0863151,missing_disease
"['CHEBI:135538', 'CHEBI:5088']",UMLS:C4041537,1,[],UMLS:C4041537,missing_disease
"['CHEBI:135547', 'CHEBI:94773']",UMLS:C1290992,1,[],UMLS:C1290992,missing_disease
"['CHEBI:135598', 'CHEBI:33353']",MONDO:0005267,1,['CHEBI:135598'],,missing_drug
"['CHEBI:135598', 'CHEBI:33353']",UMLS:C0852149,1,['CHEBI:135598'],UMLS:C0852149,missing_drug+missing_disease
"['CHEBI:135611', 'CHEBI:164200', 'DRUGBANK:DB11579']",MONDO:0004980,1,['DRUGBANK:DB11579'],,missing_drug
"['CHEBI:135611', 'CHEBI:17824']",UMLS:C0178808,1,[],UMLS:C0178808,missing_disease
"['CHEBI:135611', 'CHEBI:36560', 'CHEBI:39561']",UMLS:C0086196,1,[],UMLS:C0086196,missing_disease
