condition_id_norm,label,drug_set
MONDO:0001051,1,"['CHEBI:100241', 'CHEBI:17650']"
MONDO:0021666,1,"['CHEBI:100241', 'CHEBI:17650']"
UMLS:C0740437,1,"['CHEBI:100241', 'CHEBI:17650']"
HP:0000371,1,"['CHEBI:100241', 'CHEBI:41879']"
MONDO:0001051,1,"['CHEBI:100241', 'CHEBI:41879']"
MONDO:0004866,1,"['CHEBI:100241', 'CHEBI:41879']"
MONDO:0005441,1,"['CHEBI:100241', 'CHEBI:41879']"
MONDO:0005975,1,"['CHEBI:100241', 'CHEBI:41879']"
MONDO:0007498,0,"['CHEBI:100241', 'CHEBI:41879']"
UMLS:C0015404,1,"['CHEBI:100241', 'CHEBI:41879']"
MONDO:0005892,1,"['CHEBI:100241', 'CHEBI:5108']"
UMLS:C1112209,1,"['CHEBI:100241', 'CHEBI:6909']"
MONDO:0021697,1,"['CHEBI:100241', 'CHEBI:75176']"
MONDO:0100128,1,"['CHEBI:100241', 'CHEBI:75176']"
UMLS:C0746883,1,"['CHEBI:100241', 'CHEBI:8232']"
UMLS:C0919822,1,"['CHEBI:10033', 'CHEBI:4653']"
HP:0002625,1,"['CHEBI:10033', 'UNII:8NZ41MIK1O']"
MONDO:0005279,1,"['CHEBI:10033', 'UNII:8NZ41MIK1O']"
HP:0002625,1,"['CHEBI:10033', 'UNII:PUE0TO3XDR']"
HP:0000016,0,"['CHEBI:10056', 'CHEBI:32270']"
MONDO:0001744,0,"['CHEBI:10056', 'CHEBI:32270']"
MONDO:0005090,1,"['CHEBI:10056', 'CHEBI:32270']"
MONDO:0005154,0,"['CHEBI:10056', 'CHEBI:32270']"
UMLS:C0585136,0,"['CHEBI:10056', 'CHEBI:32270']"
HP:0001742,1,"['CHEBI:10082', 'CHEBI:135978']"
HP:0001742,1,"['CHEBI:10082', 'CHEBI:27373']"
MONDO:0005091,1,"['CHEBI:10082', 'CHEBI:27373']"
MONDO:0005961,1,"['CHEBI:10082', 'CHEBI:27373']"
MONDO:0011786,1,"['CHEBI:10082', 'CHEBI:27373']"
UMLS:C0176372,1,"['CHEBI:10082', 'CHEBI:27373']"
HP:0001742,1,"['CHEBI:10082', 'CHEBI:91495']"
MONDO:0005091,1,"['CHEBI:10082', 'CHEBI:91495']"
MONDO:0011786,1,"['CHEBI:10082', 'CHEBI:91495']"
MONDO:0005109,1,"['CHEBI:10110', 'CHEBI:421707', 'CHEBI:63577']"
MONDO:0004985,1,"['CHEBI:10119', 'CHEBI:39867', 'CHEBI:6504']"
HP:0020083,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
MONDO:0001786,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
MONDO:0003799,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
MONDO:0005227,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
MONDO:0006668,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
MONDO:0021783,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
MONDO:0021839,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
MONDO:0043839,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
MONDO:0100338,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
NCIT:C35448,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
UMLS:C0042136,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
UMLS:C1610066,1,"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']"
MONDO:0004605,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
MONDO:0004652,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
MONDO:0004863,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
MONDO:0005249,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
MONDO:0005292,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
MONDO:0043839,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
MONDO:0043885,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
MONDO:0100338,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
UMLS:C0015404,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
UMLS:C0152516,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
UMLS:C0521833,1,"['CHEBI:102130', 'CHEBI:9328', 'CHEBI:9337']"
MONDO:0000889,1,"['CHEBI:102484', 'CHEBI:17076']"
MONDO:0001031,1,"['CHEBI:102484', 'CHEBI:18208']"
HP:0000371,1,"['CHEBI:102484', 'CHEBI:42355']"
MONDO:0001031,1,"['CHEBI:102484', 'CHEBI:42355']"
MONDO:0005989,1,"['CHEBI:102484', 'CHEBI:8673']"
HP:0012531,1,"['CHEBI:102524', 'CHEBI:135538', 'CHEBI:27732']"
HP:0100607,1,"['CHEBI:102524', 'CHEBI:135538', 'CHEBI:27732']"
MONDO:0005554,1,"['CHEBI:102524', 'CHEBI:135538', 'CHEBI:27732']"
MONDO:0019735,1,"['CHEBI:102524', 'CHEBI:135538', 'CHEBI:27732']"
NCIT:C78640,1,"['CHEBI:102524', 'CHEBI:135538', 'CHEBI:27732']"
UMLS:C0852402,1,"['CHEBI:102524', 'CHEBI:135538', 'CHEBI:27732']"
HP:0004305,1,"['CHEBI:102524', 'CHEBI:15365', 'CHEBI:16714', 'CHEBI:27732']"
HP:0012228,1,"['CHEBI:102524', 'CHEBI:15365', 'CHEBI:16714', 'CHEBI:27732']"
HP:0004305,1,"['CHEBI:102524', 'CHEBI:15365', 'CHEBI:27732']"
HP:0012228,1,"['CHEBI:102524', 'CHEBI:15365', 'CHEBI:27732']"
HP:0012228,1,"['CHEBI:102524', 'CHEBI:16714', 'CHEBI:27732', 'CHEBI:46195']"
