drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:100241', 'CHEBI:17650']",UMLS:C0740437,1,[],UMLS:C0740437,missing_disease
"['CHEBI:10033', 'CHEBI:4653']",UMLS:C0919822,1,[],UMLS:C0919822,missing_disease
"['CHEBI:10082', 'CHEBI:27373']",UMLS:C0176372,1,[],UMLS:C0176372,missing_disease
"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']",UMLS:C1610066,1,[],UMLS:C1610066,missing_disease
"['CHEBI:102524', 'CHEBI:135538', 'CHEBI:27732']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:10454', 'CHEBI:135214']",UMLS:C1998297,0,[],UMLS:C1998297,missing_disease
"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",NCIT:C78213,1,[],NCIT:C78213,missing_disease
"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",UMLS:C0001707,1,[],UMLS:C0001707,missing_disease
"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",UMLS:C0232574,1,[],UMLS:C0232574,missing_disease
"['CHEBI:114785', 'CHEBI:175901']",UMLS:C5395609,1,[],UMLS:C5395609,missing_disease
"['CHEBI:114785', 'UNII:D99YVK4L0X']",UMLS:C3888903,1,[],UMLS:C3888903,missing_disease
"['CHEBI:114786', 'CHEBI:131527']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:114786', 'CHEBI:17234']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:114786', 'CHEBI:26710']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:114786', 'CHEBI:32954']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:17650', 'CHEBI:4853', 'Error']",MONDO:0004872,1,['Error'],,missing_drug
"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:116735', 'CHEBI:17987', 'CHEBI:34393']",UMLS:C5437085,1,[],UMLS:C5437085,missing_disease
"['CHEBI:116735', 'CHEBI:31264', 'UNII:877376V2XW']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:116735', 'CHEBI:9468']",UMLS:C0011593,1,[],UMLS:C0011593,missing_disease
"['CHEBI:116735', 'Error']",MONDO:0018076,0,['Error'],,missing_drug
"['CHEBI:116735', 'Error']",UMLS:C0948998,0,['Error'],UMLS:C0948998,missing_drug+missing_disease
"['CHEBI:116735', 'UNII:877376V2XW']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:12777', 'CHEBI:15940']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
