primary_drug_id,secondary_drug_id,condition_id_norm,primary_drug_id_norm,primary_drug_id_norm_label,secondary_drug_id_norm,secondary_drug_id_norm_label
['DRUGBANK:DB16613'],['DRUGBANK:DB00798'],MONDO:0005046,['DRUGBANK:DB16613'],['Equine collagen'],['PUBCHEM.COMPOUND:3467'],['gentamicin']
['DRUGBANK:DB16613'],['DRUGBANK:DB00798'],MONDO:0003900,['DRUGBANK:DB16613'],['Equine collagen'],['PUBCHEM.COMPOUND:3467'],['gentamicin']
['DRUGBANK:DB16000'],['DRUGBANK:DB00115'],UMLS:C1996939,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:17439'],['Cyanocobalamin']
['DRUGBANK:DB15956'],['DRUGBANK:DB03852'],UMLS:C1096063,['CHEBI:22469'],['Terpineol'],['PUBCHEM.COMPOUND:2758'],['cineole']
['DRUGBANK:DB16000'],['DRUGBANK:DB00115'],MONDO:0001866,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:17439'],['Cyanocobalamin']
['DRUGBANK:DB16000'],['DRUGBANK:DB00281'],MONDO:0007263,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:6456'],['Lidocaine']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],HP:0001907,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],NCIT:C50805,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15907'],['DRUGBANK:DB00936'],MONDO:0012511,['UNII:RUU8G67GQM'],['Escin'],['CHEBI:16914'],['Salicylic acid']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],MONDO:0005365,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],MONDO:0002525,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],MONDO:0005399,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15907'],['DRUGBANK:DB00936'],MONDO:0019289,['UNII:RUU8G67GQM'],['Escin'],['CHEBI:16914'],['Salicylic acid']
['DRUGBANK:DB13166'],['DRUGBANK:DB00999'],HP:0100545,['CHEBI:78539'],['Zofenopril'],['CHEBI:5778'],['Hydrochlorothiazide']
['DRUGBANK:DB16625'],['DRUGBANK:DB13956'],UMLS:C0855239,['UNII:2W8I1S6T5L'],['Prasterone enantate'],['CHEBI:16469'],['Estradiol']
['DRUGBANK:DB15889'],['DRUGBANK:DB15860'],HP:0002027,['DRUGBANK:DB15889'],['Senna leaf'],['DRUGBANK:DB15860'],['Cassia fistula fruit']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],MONDO:0002691,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB16625'],['DRUGBANK:DB13956'],MONDO:0002304,['UNII:2W8I1S6T5L'],['Prasterone enantate'],['CHEBI:16469'],['Estradiol']
['DRUGBANK:DB00397'],['DRUGBANK:DB00874'],MONDO:0001106,['PUBCHEM.COMPOUND:4786'],['Phenylpropanolamine'],['CHEBI:5551'],['Guaifenesin']
['DRUGBANK:DB16000'],['DRUGBANK:DB08940'],UMLS:C0151664,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:31749'],['Kebuzone']
['DRUGBANK:DB16625'],['DRUGBANK:DB13956'],UMLS:C1277614,['UNII:2W8I1S6T5L'],['Prasterone enantate'],['CHEBI:16469'],['Estradiol']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],MONDO:0025598,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15889'],['DRUGBANK:DB15860'],UMLS:C0267596,['DRUGBANK:DB15889'],['Senna leaf'],['DRUGBANK:DB15860'],['Cassia fistula fruit']
['DRUGBANK:DB16000'],['DRUGBANK:DB00281'],UMLS:C1996939,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:6456'],['Lidocaine']
['DRUGBANK:DB16000'],['DRUGBANK:DB00281'],MONDO:0001866,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:6456'],['Lidocaine']
['DRUGBANK:DB16000'],['DRUGBANK:DB01234'],MONDO:0007263,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:41879'],['Dexamethasone']
['DRUGBANK:DB16000'],['DRUGBANK:DB00281'],UMLS:C0151664,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:6456'],['Lidocaine']
['DRUGBANK:DB16000'],['DRUGBANK:DB08940'],UMLS:C1996939,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:31749'],['Kebuzone']
['DRUGBANK:DB16000'],['DRUGBANK:DB08940'],MONDO:0001866,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:31749'],['Kebuzone']
['DRUGBANK:DB16000'],['DRUGBANK:DB08940'],MONDO:0007263,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:31749'],['Kebuzone']
['DRUGBANK:DB16000'],['DRUGBANK:DB00115'],UMLS:C0151664,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:17439'],['Cyanocobalamin']
['DRUGBANK:DB16000'],['DRUGBANK:DB01234'],UMLS:C1996939,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:41879'],['Dexamethasone']
['DRUGBANK:DB16000'],['DRUGBANK:DB01234'],MONDO:0001866,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:41879'],['Dexamethasone']
['DRUGBANK:DB16000'],['DRUGBANK:DB00115'],MONDO:0007263,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:17439'],['Cyanocobalamin']
['DRUGBANK:DB16000'],['DRUGBANK:DB01234'],UMLS:C0151664,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:41879'],['Dexamethasone']
['DRUGBANK:DB16613'],['DRUGBANK:DB00798'],MONDO:0005046,['DRUGBANK:DB16613'],['Equine collagen'],['PUBCHEM.COMPOUND:3467'],['gentamicin']
['DRUGBANK:DB16613'],['DRUGBANK:DB00798'],MONDO:0003900,['DRUGBANK:DB16613'],['Equine collagen'],['PUBCHEM.COMPOUND:3467'],['gentamicin']
['DRUGBANK:DB16000'],['DRUGBANK:DB00115'],UMLS:C1996939,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:17439'],['Cyanocobalamin']
['DRUGBANK:DB16000'],['DRUGBANK:DB00115'],MONDO:0001866,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:17439'],['Cyanocobalamin']
['DRUGBANK:DB16000'],['DRUGBANK:DB00281'],MONDO:0007263,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:6456'],['Lidocaine']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],HP:0001907,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],NCIT:C50805,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15907'],['DRUGBANK:DB00936'],MONDO:0012511,['UNII:RUU8G67GQM'],['Escin'],['CHEBI:16914'],['Salicylic acid']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],MONDO:0005365,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],MONDO:0002525,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],MONDO:0005399,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB15907'],['DRUGBANK:DB00936'],MONDO:0019289,['UNII:RUU8G67GQM'],['Escin'],['CHEBI:16914'],['Salicylic acid']
['DRUGBANK:DB13166'],['DRUGBANK:DB00999'],HP:0100545,['CHEBI:78539'],['Zofenopril'],['CHEBI:5778'],['Hydrochlorothiazide']
['DRUGBANK:DB16625'],['DRUGBANK:DB13956'],UMLS:C0855239,['UNII:2W8I1S6T5L'],['Prasterone enantate'],['CHEBI:16469'],['Estradiol']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],MONDO:0002691,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB16625'],['DRUGBANK:DB13956'],MONDO:0002304,['UNII:2W8I1S6T5L'],['Prasterone enantate'],['CHEBI:16469'],['Estradiol']
['DRUGBANK:DB00397'],['DRUGBANK:DB00874'],MONDO:0001106,['PUBCHEM.COMPOUND:4786'],['Phenylpropanolamine'],['CHEBI:5551'],['Guaifenesin']
['DRUGBANK:DB16000'],['DRUGBANK:DB08940'],UMLS:C0151664,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:31749'],['Kebuzone']
['DRUGBANK:DB16625'],['DRUGBANK:DB13956'],UMLS:C1277614,['UNII:2W8I1S6T5L'],['Prasterone enantate'],['CHEBI:16469'],['Estradiol']
['DRUGBANK:DB15903'],['DRUGBANK:DB00977'],MONDO:0025598,['CHEBI:31394'],['chlormadinone'],['CHEBI:4903'],['Ethinylestradiol']
['DRUGBANK:DB16000'],['DRUGBANK:DB00281'],UMLS:C1996939,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:6456'],['Lidocaine']
['DRUGBANK:DB16000'],['DRUGBANK:DB00281'],MONDO:0001866,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:6456'],['Lidocaine']
['DRUGBANK:DB16000'],['DRUGBANK:DB01234'],MONDO:0007263,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:41879'],['Dexamethasone']
['DRUGBANK:DB16000'],['DRUGBANK:DB00281'],UMLS:C0151664,['CHEBI:134850'],['Salicylamide O-acetic acid'],['CHEBI:6456'],['Lidocaine']
