primary_drug_id,secondary_drug_id,condition_id_norm,primary_drug_id_norm,primary_drug_id_norm_label,secondary_drug_id_norm,secondary_drug_id_norm_label,condition_id_norm_norm,condition_id_norm_norm_label
DB16617,DB01750,MONDO:0004868,['Error'],['Error'],CHEBI:32918,1-naphthaleneacetic acid,MONDO:0004868,biliary tract disorder
DB15988,DB16362,MONDO:0004566,UNII:T9S008S8JL,Ephedrine levulinate,['Error'],['Error'],MONDO:0004566,postgastrectomy syndrome
DB16613,DB00798,MONDO:0005046,['Error'],['Error'],CHEBI:17833,Gentamicin,MONDO:0005046,immune system disorder
DB16613,DB00798,MONDO:0003900,['Error'],['Error'],CHEBI:17833,Gentamicin,MONDO:0003900,connective tissue disorder
DB16000,DB00115,UMLS:C1996939,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:17439,Cyanocobalamin,UMLS:C1996939,History of hemorrhage into ventricle of brain
DB15956,DB03852,UMLS:C1096063,CHEBI:22469,Terpineol,CHEBI:27961,Eucalyptol,UMLS:C1096063,Drug Resistant Epilepsy
DB16000,DB00115,MONDO:0001866,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:17439,Cyanocobalamin,MONDO:0001866,bipolar I disorder
DB16000,DB00281,MONDO:0007263,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:6456,Lidocaine,MONDO:0007263,Arrhythmia
DB15903,DB00977,HP:0001907,CHEBI:31394,chlormadinone,CHEBI:4903,Ethinylestradiol,HP:0001907,Thromboembolism
DB15903,DB00977,NCIT:C50805,CHEBI:31394,chlormadinone,CHEBI:4903,Ethinylestradiol,NCIT:C50805,Visual Disturbance
DB15907,DB00936,MONDO:0012511,PUBCHEM.COMPOUND:6433489,Escin,CHEBI:16914,Salicylic acid,MONDO:0012511,preterm premature rupture of the membranes
DB15903,DB00977,MONDO:0005365,CHEBI:31394,chlormadinone,CHEBI:4903,Ethinylestradiol,MONDO:0005365,deafness
DB15903,DB00977,MONDO:0002525,CHEBI:31394,chlormadinone,CHEBI:4903,Ethinylestradiol,MONDO:0002525,inherited lipid metabolism disorder
DB15903,DB00977,MONDO:0005399,CHEBI:31394,chlormadinone,CHEBI:4903,Ethinylestradiol,MONDO:0005399,venous thromboembolism
DB15907,DB00936,MONDO:0019289,PUBCHEM.COMPOUND:6433489,Escin,CHEBI:16914,Salicylic acid,MONDO:0019289,hyperpigmentation of the skin
DB13166,DB00999,HP:0100545,CHEBI:78539,Zofenopril,CHEBI:5778,Hydrochlorothiazide,HP:0100545,Arterial stenosis
DB16625,DB13956,UMLS:C0855239,UNII:2W8I1S6T5L,Prasterone enantate,CHEBI:16469,Estradiol,UMLS:C0855239,Anti-DNA antibodies positive
DB15988,DB16362,UMLS:C0342398,UNII:T9S008S8JL,Ephedrine levulinate,['Error'],['Error'],UMLS:C0342398,Hypophysectomy-induced hypopituitarism
DB15889,DB15860,HP:0002027,DRUGBANK:DB15889,Senna leaf,['Error'],['Error'],HP:0002027,Abdominal pain
DB15988,DB16362,UMLS:C0339800,UNII:T9S008S8JL,Ephedrine levulinate,['Error'],['Error'],UMLS:C0339800,Rhinitis sicca
DB15903,DB00977,MONDO:0002691,CHEBI:31394,chlormadinone,CHEBI:4903,Ethinylestradiol,MONDO:0002691,liver cancer
