drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
['(4) A drug with a new indication and a new dosage for the remission induction therapy of moderate to severe active Crohn’s disease (for use only in patients who have not sufficiently responded to conventional treatments).'],UNII:4RA0KN46E0|UMLS:C0852922,1,['(4) A drug with a new indication and a new dosage for the remission induction therapy of moderate to severe active Crohn’s disease (for use only in patients who have not sufficiently responded to conventional treatments).'],UNII:4RA0KN46E0|UMLS:C0852922,missing_drug+missing_disease
"[""- [6]) and Duchenne muscular dystrophy ([4] - [6]). Duchenne muscular dystrophy: [Public knowledge- based application after PAFSC's preliminary assessment]""]",CHEBI:8378|MONDO:0010679,1,"[""- [6]) and Duchenne muscular dystrophy ([4] - [6]). Duchenne muscular dystrophy: [Public knowledge- based application after PAFSC's preliminary assessment]""]",CHEBI:8378|MONDO:0010679,missing_drug+missing_disease
['<Combined therapy with anticancer agents>'],CHEBI:28748|MONDO:0006424,1,['<Combined therapy with anticancer agents>'],CHEBI:28748|MONDO:0006424,missing_drug+missing_disease
['<Combined therapy with anticancer agents>'],CHEBI:5864|MONDO:0002129,1,['<Combined therapy with anticancer agents>'],CHEBI:5864|MONDO:0002129,missing_drug+missing_disease
['<Combined therapy with anticancer agents>'],CHEBI:5864|MONDO:0006424,1,['<Combined therapy with anticancer agents>'],CHEBI:5864|MONDO:0006424,missing_drug+missing_disease
"[""A drug with a new indication and a new dosage for the maintenance therapy for moderate to severe active Crohn's disease (for use only in patients who have not sufficiently responded to conventional treatments).""]",UNII:FU77B4U5Z0|UMLS:C0852922,1,"[""A drug with a new indication and a new dosage for the maintenance therapy for moderate to severe active Crohn's disease (for use only in patients who have not sufficiently responded to conventional treatments).""]",UNII:FU77B4U5Z0|UMLS:C0852922,missing_drug+missing_disease
['A drug with a new indication and a new dosage for the preoperative and postoperative adjuvant treatment of hormone receptor (HR)-negative and human epidermal growth factor receptor 2 (HER2)-negative breast cancer with a high risk of recurrence.'],UNII:DPT0O3T46P|MONDO:0007254,1,['A drug with a new indication and a new dosage for the preoperative and postoperative adjuvant treatment of hormone receptor (HR)-negative and human epidermal growth factor receptor 2 (HER2)-negative breast cancer with a high risk of recurrence.'],UNII:DPT0O3T46P|MONDO:0007254,missing_drug+missing_disease
['A drug with a new indication and a new dosage in an additional dosage form for the maintenance therapy of moderate to severe active Crohn’s disease (for use only in patients who have not sufficiently responded to conventional treatments).'],UNII:90ZX3Q3FR7|UMLS:C0852922,1,['A drug with a new indication and a new dosage in an additional dosage form for the maintenance therapy of moderate to severe active Crohn’s disease (for use only in patients who have not sufficiently responded to conventional treatments).'],UNII:90ZX3Q3FR7|UMLS:C0852922,missing_drug+missing_disease
['CHEBI:10023'],UMLS:C0276760,1,[],UMLS:C0276760,missing_disease
['CHEBI:10023'],UMLS:C0854535,1,[],UMLS:C0854535,missing_disease
['CHEBI:10023'],UMLS:C0948382,1,[],UMLS:C0948382,missing_disease
['CHEBI:100241'],UMLS:C0851989,1,[],UMLS:C0851989,missing_disease
['CHEBI:100241'],UMLS:C4012276,1,[],UMLS:C4012276,missing_disease
['CHEBI:100241'],UMLS:C4552431,1,[],UMLS:C4552431,missing_disease
"['CHEBI:100241', 'CHEBI:17650']",UMLS:C0740437,1,[],UMLS:C0740437,missing_disease
['CHEBI:10033'],UMLS:C0340885,1,[],UMLS:C0340885,missing_disease
['CHEBI:10033'],UMLS:C4290140,1,[],UMLS:C4290140,missing_disease
"['CHEBI:10033', 'CHEBI:4653']",UMLS:C0919822,1,[],UMLS:C0919822,missing_disease
"['CHEBI:10056', 'PUBCHEM.COMPOUND:5284632']",HP:0000016,0,['PUBCHEM.COMPOUND:5284632'],,missing_drug
"['CHEBI:10056', 'PUBCHEM.COMPOUND:5284632']",MONDO:0001744,0,['PUBCHEM.COMPOUND:5284632'],,missing_drug
"['CHEBI:10056', 'PUBCHEM.COMPOUND:5284632']",MONDO:0005090,1,['PUBCHEM.COMPOUND:5284632'],,missing_drug
"['CHEBI:10056', 'PUBCHEM.COMPOUND:5284632']",MONDO:0005154,0,['PUBCHEM.COMPOUND:5284632'],,missing_drug
"['CHEBI:10056', 'PUBCHEM.COMPOUND:5284632']",UMLS:C0585136,0,['PUBCHEM.COMPOUND:5284632'],,missing_drug
"['CHEBI:10082', 'CHEBI:27373']",UMLS:C0176372,1,[],UMLS:C0176372,missing_disease
['CHEBI:10110'],UMLS:C1096439,1,[],UMLS:C1096439,missing_disease
['CHEBI:10124'],UMLS:C1275835,0,[],UMLS:C1275835,missing_disease
['CHEBI:10124'],UMLS:C1868885,0,[],UMLS:C1868885,missing_disease
['CHEBI:101853'],UMLS:C1735365,1,[],UMLS:C1735365,missing_disease
"['CHEBI:102130', 'CHEBI:102265', 'CHEBI:9328']",UMLS:C1610066,1,[],UMLS:C1610066,missing_disease
"['CHEBI:102524', 'CHEBI:135538', 'CHEBI:27732']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:104017', 'CHEBI:93363']",NCIT:C50572,1,[],NCIT:C50572,missing_disease
"['CHEBI:10454', 'CHEBI:135214']",UMLS:C1998297,0,[],UMLS:C1998297,missing_disease
['CHEBI:10650'],UMLS:C0340291,0,[],UMLS:C0340291,missing_disease
['CHEBI:10650'],UMLS:C1275835,0,[],UMLS:C1275835,missing_disease
['CHEBI:10650'],UMLS:C1868885,0,[],UMLS:C1868885,missing_disease
['CHEBI:107736'],UMLS:C5942648,1,[],UMLS:C5942648,missing_disease
"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",NCIT:C78213,1,[],NCIT:C78213,missing_disease
"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",UMLS:C0001707,1,[],UMLS:C0001707,missing_disease
"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",UMLS:C0232574,1,[],UMLS:C0232574,missing_disease
"['CHEBI:107736', 'CHEBI:31459', 'CHEBI:31498', 'UMLS:C0006217', 'UMLS:C0111046']",UMLS:C0267167,1,['UMLS:C0111046'],,missing_drug
"['CHEBI:107736', 'CHEBI:31498', 'UMLS:C0111046']",UMLS:C0267167,1,['UMLS:C0111046'],,missing_drug
"['CHEBI:114785', 'CHEBI:175901']",UMLS:C5395609,1,[],UMLS:C5395609,missing_disease
