primary_drug_id,secondary_drug_id,condition_id_norm,primary_drug_id_norm,primary_drug_id_norm_label,secondary_drug_id_norm,secondary_drug_id_norm_label
['DRUGBANK:DB01006'],['DRUGBANK:DB11730'],MONDO:0000618,['CHEBI:6413'],['Letrozole'],['CHEBI:230905'],['Ribociclib']
['DRUGBANK:DB14018'],['DRUGBANK:DB00316'],HP:0100607,['UNII:FZG87K1MQ6'],['pamabrom'],['CHEBI:46195'],['Acetaminophen']
['DRUGBANK:DB14019'],"['DRUGBANK:DB00377', 'DRUGBANK:DB01234']",MONDO:0025598,['CHEBI:85155'],['Netupitant'],"['CHEBI:85161', 'CHEBI:41879']","['Palonosetron', 'Dexamethasone']"
['DRUGBANK:DB00535'],['DRUGBANK:DB00766'],UMLS:C0856695,['CHEBI:3485'],['Cefdinir'],['CHEBI:48947'],['Clavulanic acid']
['DRUGBANK:DB00620'],"['DRUGBANK:DB00878', 'DRUGBANK:DB00281']",UMLS:C0555971,['CHEBI:9667'],['Triamcinolone'],"['CHEBI:3614', 'CHEBI:6456']","['Chlorhexidine', 'Lidocaine']"
['DRUGBANK:DB11121'],"['DRUGBANK:DB08604', 'DRUGBANK:DB00974']",MONDO:0021201,['CHEBI:34393'],['Chloroxylenol'],"['CHEBI:164200', 'CHEBI:4735']","['Triclosan', 'Edetic acid']"
['DRUGBANK:DB04160'],['DRUGBANK:DB11056'],MONDO:0006716,['CHEBI:29888'],['Pyrophosphate'],['PUBCHEM.COMPOUND:24479'],['Stannous chloride']
['DRUGBANK:DB01744'],['DRUGBANK:DB11114'],HP:0410339,['CHEBI:36773'],['camphor'],['UNII:2R04ONI662'],['Eucalyptus oil']
['DRUGBANK:DB11482'],"['DRUGBANK:DB06723', 'DRUGBANK:DB09321', 'DRUGBANK:DB11326']",MONDO:0002406,['UNII:8P5F881OCY'],['Balsam of Peru'],"['CHEBI:33130', 'CHEBI:36560', 'CHEBI:33118']","['algeldrate', 'Zinc oxide', 'Boric acid']"
['DRUGBANK:DB01114'],"['DRUGBANK:DB00316', 'DRUGBANK:DB13163', 'DRUGBANK:DB00514']",MONDO:0005709,['CHEBI:52010'],['chlorphenamine'],"['CHEBI:46195', 'UNII:S3V868548T', 'CHEBI:4470']","['Acetaminophen', 'Terpin hydrate', 'Dextromethorphan']"
['DRUGBANK:DB00956'],['DRUGBANK:DB01114'],MONDO:0005709,['CHEBI:5779'],['Hydrocodone'],['CHEBI:52010'],['chlorphenamine']
['DRUGBANK:DB00586'],['DRUGBANK:DB01129'],MONDO:0008383,['CHEBI:47381'],['Diclofenac'],['CHEBI:8768'],['Rabeprazole']
['DRUGBANK:DB00005'],['DRUGBANK:DB00563'],MONDO:0008383,['UMLS:C0717758'],['etanercept'],['CHEBI:44185'],['Methotrexate']
['DRUGBANK:DB14016'],"['DRUGBANK:DB00085', 'DRUGBANK:DB09278']",MONDO:0005281,['DRUGBANK:DB14016'],['Ox bile extract'],"['UMLS:C0111046', 'CHEBI:27594']","['Creon', 'Graphite']"
['DRUGBANK:DB15696'],['DRUGBANK:DB17088'],MONDO:0100130,['UNII:JSV288Q5CV'],['Famtozinameran'],['UNII:JSV288Q5CV'],['Famtozinameran']
['DRUGBANK:DB17091'],['DRUGBANK:DB15654'],MONDO:0100130,['DRUGBANK:DB17091'],['Davesomeran'],['DRUGBANK:DB15654'],['Moderna COVID-19 Vaccine']
['DRUGBANK:DB01114'],"['DRUGBANK:DB00874', 'DRUGBANK:DB06767']",MONDO:0025598,['CHEBI:52010'],['chlorphenamine'],"['CHEBI:5551', 'CHEBI:31206']","['Guaifenesin', 'Chloroaminium']"
['DRUGBANK:DB00277'],['DRUGBANK:DB06151'],MONDO:0002155,['CHEBI:28177'],['Theophylline'],['CHEBI:28939'],['Acetylcysteine']
['DRUGBANK:DB11074'],['DRUGBANK:DB00085'],CHEBI:25805,['CHEBI:31498'],['Simethicone'],['UMLS:C0111046'],['Creon']
['DRUGBANK:DB06811'],"['DRUGBANK:DB14357', 'DRUGBANK:DB00281']",MONDO:0025598,['CHEBI:46859'],['Polidocanol'],"['UNII:FGL3685T2X', 'CHEBI:6456']","['Chamomile', 'Lidocaine']"
