primary_drug_id,secondary_drug_id,condition_id_norm,primary_drug_id_norm,primary_drug_id_norm_label,secondary_drug_id_norm,secondary_drug_id_norm_label,condition_id_norm_norm,condition_id_norm_norm_label
DB01006,DB11730,MONDO:0000618,CHEBI:6413,Letrozole,CHEBI:230905,Ribociclib,MONDO:0000618,Her2-receptor negative breast cancer
DB14018,DB00316,HP:0100607,UNII:FZG87K1MQ6,pamabrom,CHEBI:46195,Acetaminophen,HP:0100607,Dysmenorrhea
DB14019,"DB00377,DB01234",MONDO:0025598,CHEBI:85155,Netupitant,"['CHEBI:85157', 'CHEBI:41879']","['palonosetron hydrochloride', 'Dexamethasone']",MONDO:0025598,pneumonia caused by chlamydia
DB00535,DB00766,UMLS:C0856695,CHEBI:3485,Cefdinir,CHEBI:48947,Clavulanic acid,UMLS:C0856695,Acute exacerbation of chronic bronchitis
DB00620,"DB00878,DB00281",UMLS:C0555971,CHEBI:9667,Triamcinolone,"['CHEBI:3614', 'CHEBI:6456']","['Chlorhexidine', 'Lidocaine']",UMLS:C0555971,Oral infection
DB11121,"DB08604,DB00974",MONDO:0021201,CHEBI:34393,Chloroxylenol,"['CHEBI:164200', 'CHEBI:4735']","['Triclosan', 'Edetic acid']",MONDO:0021201,skin infection
DB04160,DB11056,MONDO:0006716,CHEBI:29888,Pyrophosphate,CHEBI:78067,Stannous chloride,MONDO:0006716,coronary thrombosis
DB01744,DB11114,HP:0410339,CHEBI:36773,camphor,UNII:2R04ONI662,Eucalyptus oil,HP:0410339,Insect bite allergy
DB11482,"DB06723,DB09321,DB11326",MONDO:0002406,UNII:8P5F881OCY,Balsam of Peru,"['CHEBI:33130', 'CHEBI:36560', 'CHEBI:33118']","['algeldrate', 'Zinc oxide', 'Boric acid']",MONDO:0002406,dermatitis
DB01114,"DB00316,DB13163,DB00514",MONDO:0005709,CHEBI:52010,chlorphenamine,"['CHEBI:46195', 'UNII:S3V868548T', 'CHEBI:4470']","['Acetaminophen', 'Terpin hydrate', 'Dextromethorphan']",MONDO:0005709,common cold
DB00956,DB01114,MONDO:0005709,CHEBI:5779,Hydrocodone,CHEBI:52010,chlorphenamine,MONDO:0005709,common cold
DB00586,DB01129,MONDO:0008383,CHEBI:47381,Diclofenac,CHEBI:8768,Rabeprazole,MONDO:0008383,rheumatoid arthritis
DB00005,DB00563,MONDO:0008383,CHEBI:4875,Etanercept,CHEBI:44185,Methotrexate,MONDO:0008383,rheumatoid arthritis
DB14016,"DB00085,DB09278",MONDO:0005281,DRUGBANK:DB14016,Ox bile extract,"['CHEBI:81916', 'CHEBI:27594']","['Pancrelipase', 'Graphite']",MONDO:0005281,gallbladder disorder
DB15696,DB17088,MONDO:0100130,UNII:JSV288Q5CV,Famtozinameran,UNII:JSV288Q5CV,Famtozinameran,MONDO:0100130,adult acute respiratory distress syndrome
DB17091,DB15654,MONDO:0100130,DRUGBANK:DB17091,Davesomeran,DRUGBANK:DB15654,Moderna COVID-19 Vaccine,MONDO:0100130,adult acute respiratory distress syndrome
DB01114,"DB00874,DB06767",MONDO:0025598,CHEBI:52010,chlorphenamine,"['CHEBI:5551', 'CHEBI:31206']","['Guaifenesin', 'Ammonium chloride']",MONDO:0025598,pneumonia caused by chlamydia
DB00277,DB06151,MONDO:0002155,CHEBI:28177,Theophylline,CHEBI:28939,Acetylcysteine,MONDO:0002155,cholecystitis
DB11074,DB00085,CHEBI:25805,CHEBI:31498,Dimethicone,CHEBI:81916,Pancrelipase,CHEBI:25805,Oxygen
DB06811,"DB14357,DB00281",MONDO:0025598,CHEBI:46859,Polidocanol,"['UNII:FGL3685T2X', 'CHEBI:6456']","['Chamomile', 'Lidocaine']",MONDO:0025598,pneumonia caused by chlamydia
DB09153,"DB00761,DB01390",MONDO:0000440,CHEBI:26710,Sodium chloride,"['CHEBI:32588', 'CHEBI:32139']","['Potassium chloride', 'Sodium bicarbonate']",MONDO:0000440,metabolic acidosis
DB01415,DB00766,UMLS:C0041912,CHEBI:3510,Ceftibuten,CHEBI:48947,Clavulanic acid,UMLS:C0041912,Upper Respiratory Infections
DB00085,"DB11074,DB09512",NCIT:C34887,CHEBI:81916,Pancrelipase,"['CHEBI:31498', 'CHEBI:31498']","['Dimethicone', 'Dimethicone']",NCIT:C34887,Post-Operative Pain
DB09449,"DB00761,DB09153,DB04398,DB14502",MONDO:0000440,CHEBI:34683,"Sodium phosphate, dibasic","['CHEBI:32588', 'CHEBI:26710', 'CHEBI:78320', 'CHEBI:34683']","['Potassium chloride', 'Sodium chloride', 'Lactic acid', 'Sodium phosphate, dibasic']",MONDO:0000440,metabolic acidosis
DB00316,"DB00835,DB09019,DB00388,DB00874",MONDO:0005709,CHEBI:46195,Acetaminophen,"['CHEBI:3183', 'CHEBI:77032', 'CHEBI:8093', 'CHEBI:5551']","['Brompheniramine', 'Bromhexine', 'Phenylephrine', 'Guaifenesin']",MONDO:0005709,common cold
DB01114,DB13800,MONDO:0005709,CHEBI:52010,chlorphenamine,CHEBI:81717,Calcium levulinate,MONDO:0005709,common cold
DB00874,"DB00397,DB00514",MONDO:0005709,CHEBI:5551,Guaifenesin,"['PUBCHEM.COMPOUND:4786', 'CHEBI:4470']","['Phenylpropanolamine', 'Dextromethorphan']",MONDO:0005709,common cold
DB01114,DB00397,MONDO:0005709,CHEBI:52010,chlorphenamine,PUBCHEM.COMPOUND:4786,Phenylpropanolamine,MONDO:0005709,common cold
DB00388,"DB00874,DB00514",MONDO:0005709,CHEBI:8093,Phenylephrine,"['CHEBI:5551', 'CHEBI:4470']","['Guaifenesin', 'Dextromethorphan']",MONDO:0005709,common cold
DB00860,"DB11341,DB15886,DB00825",MONDO:0004872,CHEBI:8378,Prednisolone,"['UNII:NQ14646378', 'UNII:5EL163606Q', 'CHEBI:15409']","['Ichthammol', 'Carvasept', 'Levomenthol']",MONDO:0004872,hemorrhoid
DB00804,DB09512,MONDO:0005725,CHEBI:4514,Dicyclomine,CHEBI:31498,Dimethicone,MONDO:0005725,cyclosporiasis
DB06715,DB00451,MONDO:0002108,CHEBI:8346,Potassium Iodide,CHEBI:18332,Levothyroxine,MONDO:0002108,thyroid cancer
DB09512,DB00804,MONDO:0005725,CHEBI:31498,Dimethicone,CHEBI:4514,Dicyclomine,MONDO:0005725,cyclosporiasis
DB00316,DB00852,UMLS:C0264222,CHEBI:46195,Acetaminophen,CHEBI:51209,Pseudoephedrine,UMLS:C0264222,Acute upper respiratory infection
DB09154,"DB01075,DB00514",MONDO:0005271,CHEBI:30769,Citric acid,"['CHEBI:4636', 'CHEBI:4470']","['Diphenhydramine', 'Dextromethorphan']",MONDO:0005271,Allergy
DB11235,"DB00514,DB00388",MONDO:0005271,CHEBI:32219,Thonzylamine hydrochloride,"['CHEBI:4470', 'CHEBI:8093']","['Dextromethorphan', 'Phenylephrine']",MONDO:0005271,Allergy
DB00835,DB00126,MONDO:0005271,CHEBI:3183,Brompheniramine,CHEBI:22652,Ascorbic acid,MONDO:0005271,Allergy
DB11114,DB14156,UMLS:C0281856,UNII:2R04ONI662,Eucalyptus oil,CHEBI:36773,camphor,UMLS:C0281856,Generalized aches and pains
DB14487,DB09345,NCIT:C121616,CHEBI:62984,Zinc acetate,CHEBI:8357,Pramocaine,NCIT:C121616,Wound Discharge
DB09074,DB00112,UMLS:C0863127,CHEBI:83766,Olaparib,UNII:2S9ZZM9Q9V,Bevacizumab,UMLS:C0863127,Chemotherapy-Related Leukemia
DB01010,DB00572,HP:0002791,CHEBI:251408,Edrophonium,CHEBI:16684,Atropine,HP:0002791,Hypoventilation
DB00366,DB00165,HP:0002018,CHEBI:51380,Doxylamine,CHEBI:16709,Pyridoxine,HP:0002018,Nausea
DB01234,"DB00994,DB00781",UMLS:C0015404,CHEBI:41879,Dexamethasone,"['CHEBI:7507', 'CHEBI:8310']","['Framycetin', 'Polymyxin B']",UMLS:C0015404,"Eye Infections, Bacterial"
DB00381,DB01098,UMLS:C0522060,CHEBI:2668,Amlodipine,CHEBI:38545,Rosuvastatin,UMLS:C0522060,Inadequate food diet
DB09078,DB09037,NCIT:C137827,CHEBI:85994,Lenvatinib,UNII:DPT0O3T46P,Pembrolizumab,NCIT:C137827,Mismatch Repair Protein Deficiency
DB00916,"DB00438,DB09060",MONDO:0018944,CHEBI:6909,Metronidazole,"['CHEBI:3508', 'CHEBI:85982']","['Ceftazidime', 'avibactam sodium']",MONDO:0018944,gestational trophoblastic neoplasm
DB00028,DB06205,HP:0005363,DRUGBANK:DB00028,Human immunoglobulin G,PUBCHEM.COMPOUND:91820602,Hyaluronidase,HP:0005363,Humoral immunodeficiency
DB08870,"DB00997,DB00570,DB00851",UMLS:C0855068,UNII:7XL5ISS668,Adcetris,"['CHEBI:28748', 'CHEBI:27375', 'CHEBI:177836']","['Doxorubicin', 'Vinblastine', 'Dacarbazine']",UMLS:C0855068,Rhabdomyosarcoma previously untreated
DB00999,DB00421,NCIT:C162704,CHEBI:5778,Hydrochlorothiazide,CHEBI:9241,Spironolactone,NCIT:C162704,No Response to Treatment
DB09053,DB11581,UMLS:C5395609,CHEBI:76612,Ibrutinib,CHEBI:133021,Venetoclax,UMLS:C5395609,Treatment naive
DB00319,DB01606,UMLS:C0694549,CHEBI:8232,Piperacillin,CHEBI:9421,Tazobactam,UMLS:C0694549,Community-Acquired Pneumonia
DB00482,DB00193,UniProtKB:A0A8D0SEZ5,CHEBI:41423,Celecoxib,CHEBI:75722,Tramadol,UniProtKB:A0A8D0SEZ5,A0A8D0SEZ5_PIG NOVA alternative splicing regulator 1 (trembl)
DB09061,DB00470,UMLS:C0278139,CHEBI:69478,Cannabidiol,CHEBI:66964,Dronabinol,UMLS:C0278139,Moderate pain
DB00535,DB00766,MONDO:0021201,CHEBI:3485,Cefdinir,CHEBI:48947,Clavulanic acid,MONDO:0021201,skin infection
DB00878,DB00712,UMLS:C0852882,CHEBI:3614,Chlorhexidine,CHEBI:5130,Flurbiprofen,UMLS:C0852882,Radiation mucositis
DB00741,DB03166,MONDO:0004795,CHEBI:17650,Hydrocortisone,CHEBI:15366,Acetic acid,MONDO:0004795,otitis externa
DB11817,DB14761,UMLS:C0748061,CHEBI:95341,Baricitinib,CHEBI:145994,Remdesivir,UMLS:C0748061,psychiatric hospitalization
DB16393,DB16394,UNII:JSV288Q5CV,UNII:1KUR4BN70F,Cilgavimab,UNII:F0LZ415Z3B,Tixagevimab,UNII:JSV288Q5CV,Famtozinameran
DB16394,DB16393,MONDO:0005821,UNII:F0LZ415Z3B,Tixagevimab,UNII:1KUR4BN70F,Cilgavimab,MONDO:0005821,late congenital syphilis
